Store_ID,门店名称,品牌,城市,商圈,业态,经度,纬度,是否子店,门店状态,开店日期,门店地址
BJW27,北京暖山店,Wagas,北京市,朝阳区,Shopping Mall,116.415396,40.032284,否,已开业,2019-10-27,北京市朝阳区红军营南路36号院1号楼1楼02室
SHBS22,上海光大安石中心店,Baker & Spice,上海市,杨浦区,Office/BusinessPark,121.515526,31.257338,否,已开业,2019-06-11,上海杨浦区荆州路53号光大安石中心102室A单元
SHW38,上海东亚银行,Wagas,上海市,浦东新区,Office/BusinessPark,121.502599,31.234417,否,已开业,2017-06-06,上海市浦东新区花园石桥路66号东亚银行金融大厦1层01A室
SHW50,上海汇京广场店,Wagas,上海市,徐汇区,Shopping Mall,121.423557,31.195884,否,已开业,2018-08-29,上海市徐汇区淮海西路555号汇京国际广场一层104-107单元
WHW3,武汉万象城,Wagas,武汉市,江岸区,Shopping Mall,114.278053,30.599063,否,已开业,2022-05-01,武汉市江岸区建设大道和台北路交汇处L233号
NJW7,南京河西龙湖,Wagas,南京市,建邺区,Shopping Mall,118.738082,31.987983,否,已开业,2021-12-18,南京市建邺区河西大街云龙山路交汇处河西天街 1F-34
SHW98,上海源深路,Wagas,上海市,浦东新区,Office/BusinessPark,121.532604,31.236073,否,已开业,2022-01-28,上海市浦东新区源深路355号、商城路1418号102-1B单元
SHLK10,上海大洋千树,Lokal,上海市,普陀区,Shopping Mall,121.445462,31.249195,否,已开业,2021-12-22,上海市普陀区莫干山路600号L2F-12单元
SHBS7,上海丰尚国际生活中心,Baker & Spice,上海市,闵行区,Shopping Mall,121.282655,31.20319,否,已开业,2014-02-13,上海市闵行区运乐路571号175室
SZW6,深圳湾壹号店,Wagas,深圳市,南山区,Office/BusinessPark,113.942727,22.50862,否,已开业,2018-06-13,深圳市南山区科苑路与东滨路交汇处深圳湾1号广场北区1栋101/102号商铺
SHW116,上海旭辉企业大厦 Cifi Tower WA,Wagas,上海市,普陀区,Shopping Mall,121.439149,31.239722,否,已开业,2022-10-19,上海市普陀区长寿路333号旭辉企业大厦L114-1商铺
BJW45,北京信创园,Wagas,北京市,大兴区,Office/BusinessPark,116.578646,39.786533,否,已开业,2022-07-18,北京经济技术开发区科谷一街8号院3号楼一层102-2
SHW26,上海正大乐城,Wagas,上海市,徐汇区,Shopping Mall,121.458131,31.186431,否,已开业,2013-06-28,上海市徐汇区东安路599号正大乐城1区1层102单元
SHW106,上海虹桥国际商务花园,Wagas,上海市,长宁区,Office/BusinessPark,121.351851,31.231416,否,已开业,2022-08-01,上海市长宁区临虹路168弄南区102-3室
BJW40,北京万柳店,Wagas,北京市,朝阳区,Shopping Mall,116.295152,39.973738,否,已开业,2021-07-13,北京市海淀区巴沟路2号1幢万柳华联一层F1-42
WXW1,无锡海岸城,Wagas,无锡市,滨湖区,Shopping Mall,120.303795,31.487484,否,已开业,2015-02-26,无锡市滨湖区立信大道168号海岸城购物中心1层117室
NJW9,南京喜马拉雅,Wagas,南京市,雨花台区,Shopping Mall,118.802752,31.967318,否,已开业,2022-06-25,江苏省南京市雨花台区民智路1号A栋A1-1号商铺
SHW80,上海陆家嘴投资大厦店,Wagas,上海市,浦东新区,Office/BusinessPark,121.530296,31.221898,否,已开业,2020-11-02,上海市浦东新区浦电路366号第一层103A和103B
SHW101,上海宝山新业坊,Wagas,上海市,宝山区,Office/BusinessPark,121.483807,31.318069,否,已开业,2022-02-07,上海市宝山区逸仙路1328号6号楼108A室
BJW42,北京丽泽平安,Wagas,北京市,丰台区,Office/BusinessPark,116.326736,39.866474,否,已开业,2022-03-09,北京市丰台区金泽西路2号院1号楼A1-05/A1-06/A1-07
WHW1,武汉恒隆,Wagas,武汉市,硚口区,Shopping Mall,114.273522,30.578099,否,已开业,2021-12-11,武汉市硚口区京汉大道668号武汉恒隆广场商场L106号铺位
SHBS43,上海近铁城市广场,Baker & Spice,上海市,普陀区,Shopping Mall,121.382152,31.232998,否,已开业,2021-12-31,上海市普陀区真北路818号近铁城市广场北区一楼N-F1-20商铺
GZW6,广州番禺CR8,Wagas,广州市,番禺区,Shopping Mall,113.331647,22.994588,否,已开业,2022-10-20,广东省广州市番禺区钟村街泽溪街17号102，103单元
SHW40,上海大宁国际商业广场,Wagas,上海市,静安区,Shopping Mall,121.452616,31.27415,否,已开业,2017-10-14,上海市静安区共和新路1918号大宁国际商业广场6栋101-105D单元
BJBS17,北京大族,Baker & Spice,北京市,大兴区,Shopping Mall,116.512308,39.792031,否,已开业,2023-01-19,北京市北京经济技术开发区荣华南路大族广场购物中心10号楼F1-38-2号
