门店ID,门店名称,城市,poi_count,avg_cost,median_cost,avg_rating,top_categories,business_area,office_count,residential_count,metro_count,nearest_metro_km
BJW27,北京暖山店,北京市,50,42.4,30.0,4.03,"中餐厅(11), 外国餐厅(10), 快餐厅(10)",北苑,10,10,10,0.27
SHBS22,上海光大安石中心店,上海市,50,41.4,25.0,3.79,"中餐厅(11), 外国餐厅(10), 咖啡厅(10)",鞍山新村,10,10,10,0.19
SHW38,上海东亚银行,上海市,50,112.5,45.0,4.17,"中餐厅(12), 外国餐厅(10), 咖啡厅(10)",陆家嘴,10,10,10,0.01
SHW50,上海汇京广场店,上海市,49,94.9,33.0,4.22,"中餐厅(11), 外国餐厅(10), 休闲餐饮场所(10)",徐家汇,10,10,10,0.14
WHW3,武汉万象城,武汉市,50,54.0,26.0,4.03,"中餐厅(11), 外国餐厅(10), 快餐厅(10)",建设大道,10,10,10,0.05
NJW7,南京河西龙湖,南京市,50,43.0,27.0,4.04,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",小行,10,10,10,0.35
SHW98,上海源深路,上海市,50,50.0,32.0,3.87,"中餐厅(12), 外国餐厅(10), 休闲餐饮场所(10)",洋泾,10,10,10,0.32
SHLK10,上海大洋千树,上海市,50,703.7,37.0,3.99,"中餐厅(12), 外国餐厅(10), 休闲餐饮场所(10)",长寿路,10,10,10,0.49
SHBS7,上海丰尚国际生活中心,上海市,50,53.3,30.0,4.12,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",华漕,10,10,10,1.62
SZW6,深圳湾壹号店,深圳市,50,112.2,30.0,4.25,"咖啡厅(11), 中餐厅(10), 外国餐厅(10)",后海片区,10,10,10,0.3
SHW116,上海旭辉企业大厦 Cifi Tower WA,上海市,50,46.5,26.0,4.18,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",长寿路,10,10,10,0.02
BJW45,北京信创园,北京市,44,54.3,30.0,4.19,"中餐厅(10), 快餐厅(10), 咖啡厅(10)",北京经济技术开发区,10,10,10,0.91
SHW26,上海正大乐城,上海市,50,51.9,31.0,4.35,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",西岸,10,10,10,0.09
SHW106,上海虹桥国际商务花园,上海市,50,40.7,30.0,3.89,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",上海虹桥商务区,10,10,10,1.25
BJW40,北京万柳店,北京市,50,61.1,34.0,4.12,"中餐厅(12), 外国餐厅(10), 快餐厅(9)",万柳,10,10,10,0.04
WXW1,无锡海岸城,无锡市,46,50.2,33.0,4.18,"中餐厅(11), 外国餐厅(10), 咖啡厅(10)",海岸城,10,10,10,0.29
NJW9,南京喜马拉雅,南京市,50,40.0,25.0,4.2,"外国餐厅(10), 快餐厅(10), 休闲餐饮场所(10)",南京南站,10,10,10,0.3
SHW80,上海陆家嘴投资大厦店,上海市,50,52.9,26.0,4.01,"中餐厅(12), 外国餐厅(10), 休闲餐饮场所(10)",世纪大道,10,10,10,0.15
SHW101,上海宝山新业坊,上海市,50,50.5,30.0,3.8,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",江湾,10,10,10,0.24
BJW42,北京丽泽平安,北京市,50,54.7,29.0,4.15,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",太平桥,10,10,10,0.34
WHW1,武汉恒隆,武汉市,50,56.9,34.0,4.06,"中餐厅(10), 快餐厅(10), 外国餐厅(9)",江滩,10,10,10,0.31
SHBS43,上海近铁城市广场,上海市,50,41.9,28.0,3.84,"中餐厅(11), 外国餐厅(10), 咖啡厅(10)",长征,10,10,10,0.05
GZW6,广州番禺CR8,广州市,50,53.1,39.0,4.33,"中餐厅(11), 外国餐厅(10), 快餐厅(10)",长隆,10,10,10,0.08
SHW40,上海大宁国际商业广场,上海市,50,57.9,39.0,4.23,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",大宁路,10,10,10,0.32
BJBS17,北京大族,北京市,45,74.3,39.0,4.22,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",亦庄,10,10,10,0.15
