门店ID,数据日期,当日销售额,当日订单量
BJW62,2026-08-26,5986.5,78
BJW63,2026-08-26,12044.11,145
BJW65,2026-08-26,18671.31,236
BJW66,2026-08-26,14733.58,184
BJW67,2026-08-26,13997.74,197
BJW68,2026-08-26,8145.13,85
BJW69,2026-08-26,15511.02,200
BJW70,2026-08-26,12710.59,179
BJW71,2026-08-26,10851.33,136
BJW72,2026-08-26,12032.78,178
BJW73,2026-08-26,17014.9,243
BJW74,2026-08-26,14523.4,195
BJW75,2026-08-26,12518.25,159
BJW76,2026-08-26,5561.93,77
BJW77,2026-08-26,15547.85,184
BJW78,2026-08-26,11259.04,141
BJW80,2026-08-26,19197.35,254
BJW81,2026-08-26,9745.62,122
BJW82,2026-08-26,10110.35,129
BJW9,2026-08-26,10730.07,136
CDBS3,2026-08-26,13873.21,228
CDBS4,2026-08-26,12548.45,161
CDLK1,2026-08-26,11039.9,84
CDW10,2026-08-26,9833.7,111
CDW11,2026-08-26,8821.6,111
CDW12,2026-08-26,6919.46,93
CDW13,2026-08-26,9599.48,132
CDW14,2026-08-26,8453.76,120
CDW15,2026-08-26,13599.77,173
CDW16,2026-08-26,9910.89,126
CDW18,2026-08-26,8291.0,108
CDW19,2026-08-26,12865.78,167
CDW2,2026-08-26,8220.43,136
CDW20,2026-08-26,13277.64,170
CDW22,2026-08-26,11525.65,141
CDW3,2026-08-26,10923.6,150
CDW6,2026-08-26,11410.17,144
CDW8,2026-08-26,6440.9,71
CDW9,2026-08-26,12887.93,180
CQW3,2026-08-26,5707.4,63
CQW5,2026-08-26,12382.42,152
GZBS2,2026-08-26,10854.88,162
GZBS3,2026-08-26,14285.65,237
GZW10,2026-08-26,8603.3,113
GZW11,2026-08-26,8665.59,118
GZW12,2026-08-26,7425.12,109
GZW13,2026-08-26,9624.81,137
GZW2,2026-08-26,13870.65,189
GZW3,2026-08-26,10743.0,126
GZW5,2026-08-26,18515.33,250
GZW6,2026-08-26,8624.97,107
GZW7,2026-08-26,14453.51,192
GZW8,2026-08-26,13421.18,189
HZBS2,2026-08-26,16888.13,226
HZBS3,2026-08-26,13784.16,187
HZW10,2026-08-26,21293.42,257
HZW13,2026-08-26,18144.4,207
HZW14,2026-08-26,13992.21,189
HZW15,2026-08-26,10642.54,132
HZW16,2026-08-26,7901.24,104
HZW17,2026-08-26,8790.97,101
HZW18,2026-08-26,19658.24,208
